Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Main Cuisine,Cuisine Count
Chai Point,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",,150,Marathahalli,Bakery,7
Prasanna Restaurant,"Indian, Fast Food, Snacks",,250,Marathahalli,Indian,3
TEJ HOTEL,"South Indian, Chinese, Beverages",,200,Marathahalli,South Indian,3
KEBAB AUR SHABAB,"North Indian, Biryani",,300,Marathahalli,North Indian,2
Kanti Sweets,Sweets,,100,Marathahalli,Sweets,1
Gopaljee Cafe,Indian,,450,Marathahalli,Indian,1
MUGAL BIRYANI HOUSE,Biryani,,300,Marathahalli,Biryani,1
JING FUNG CHINESE,Chinese,,300,Marathahalli,Chinese,1
BIHARI BHOJAN,"Chinese, North Indian, Biryani",,300,Marathahalli,Chinese,3
The Shake Company,"Healthy Food, American, Desserts, Beverages",,300,Marathahalli,Healthy Food,4
Big Biriyani Company,"Chinese, Continental, Italian, Mediterranean, Thai, Lebanese, American, Asian, B...",,250,Marathahalli,Chinese,9
EMPIAR'S RESTAURANT,"North Indian, Chinese",,300,Marathahalli,North Indian,2
ZAZA 22 Spice Biryani,"Biryani, North Indian, Mughlai",,250,Marathahalli,Biryani,3
Biryani point,Biryani,,200,Marathahalli,Biryani,1
Stonelicious,"Ice Cream, Beverages, Desserts",,200,Marathahalli,Ice Cream,3
MR CHOW,Chinese,,300,Marathahalli,Chinese,1
The Good Bowl,"North Indian, Punjabi, Biryani, Chinese, Beverages, Desserts, Jain, Indian, Hyde...",3.7,400,Marathahalli,North Indian,9
The Burrito Company,"Mexican, Salads, Healthy Food",,250,Marathahalli,Mexican,3
Sugar Land,"Desserts, Beverages",,300,Marathahalli,Desserts,2
McCafe by McDonald's,"Beverages, Desserts",,250,Marathahalli,Beverages,2
Slurp Factory,"Beverages, Desserts",,175,Marathahalli,Beverages,2
GHAR KA SWAD,"Indian, Chinese",,100,Marathahalli,Indian,2
The Daily Meal,"North Indian, Thalis, Indian, Home Food",,250,Marathahalli,North Indian,4
Kolapasi,"South Indian, Indian, Snacks",,400,Marathahalli,South Indian,3
Kitchens of Darjeeling,Chinese,,499,Marathahalli,Chinese,1
deli2go,"Cafe, Continental, Fast Food",,300,Marathahalli,Cafe,3
Chef Bakers,Bakery,,200,Marathahalli,Bakery,1
Donne Biryani Station,"Biryani, Punjabi, North Indian",,400,Marathahalli,Biryani,3
CHINESE VILLAGE,Chinese,,300,Marathahalli,Chinese,1
New GFC Gowdas Biryani,Biryani,3.3,400,Marathahalli,Biryani,1
DUM PUKHT BIRYANI,"Biryani, Chinese, North Indian, Indian, Beverages, Desserts",,300,Marathahalli,Biryani,6
Ledikeni sweets and Savouries,"Sweets, Snacks, Desserts",,200,Marathahalli,Sweets,3
LAL QILA RESTAURANT,Indian,,300,Marathahalli,Indian,1
BURGER LEAF,"Fast Food, Desserts, Snacks, Beverages",,150,Marathahalli,Fast Food,4
SHER E HINDUSTANI RESTAURANT,"North Indian, Punjabi",,300,Marathahalli,North Indian,2
Five Star Chicken,"Snacks, Continental, Combo",,400,Marathahalli,Snacks,3
PK Dhaba,"Fast Food, Chaat, North Indian, Beverages, Desserts",3.8,300,Marathahalli,Fast Food,5
The Khansama's Secret,"North Indian, Snacks",,500,Marathahalli,North Indian,2
Puchkas 'Your Own Chaat House',"Street Food, Chaat, Chinese, North Indian, South Indian",,250,Marathahalli,Street Food,5
THE RUH DUM BIRYANI,North Indian,,150,Marathahalli,North Indian,1
ROYAL DUM BIRIYANI,"Biryani, Tandoor, Chinese",,200,Marathahalli,Biryani,3
Guntur tasty foods,"South Indian, Andhra, Chinese, Arabian, Fast Food, Juices, Beverages",3.3,300,Marathahalli,South Indian,7
MAHIS BIRYANI,"Indian, Biryani",,150,Marathahalli,Indian,2
The Corner Shop,"Beverages, Ice Cream, Desserts",,200,Marathahalli,Beverages,3
Laddoos,"Chaat, Fast Food, North Indian, Sweets",,200,Marathahalli,Chaat,4
Biryani Era,Biryani,,600,Marathahalli,Biryani,1
PUNJABI ANGAAN RESTAURANT,"Biryani, Chinese",,300,Marathahalli,Biryani,2
Chinese Balance,"Chinese, Snacks",,600,Marathahalli,Chinese,2
Sai Foods,"North Indian, Thalis, Combo, Fast Food, Chinese",,200,Marathahalli,North Indian,5
Vijay kitchen,Indian,3.1,300,Marathahalli,Indian,1
Imperio Juice and Cafe,"Cafe, Juices",3.9,250,Marathahalli,Cafe,2
Hotel Empire,"North Indian, Kebabs, Biryani",3.8,400,Marathahalli,North Indian,3
Erivum Puliyum,"Kerala, Indian, Seafood, Biryani",,400,Marathahalli,Kerala,4
NANDI AYENGAR CAKE PALACE,"Bakery, Desserts, Snacks",,300,Marathahalli,Bakery,3
The pastry cafe,Bakery,,350,Marathahalli,Bakery,1
Chinese BAE,"Chinese, Thai, Seafood, Asian, Healthy Food, Beverages",3.6,400,Marathahalli,Chinese,6
New juice it up,"Juices, Fast Food",,100,Marathahalli,Juices,2
SRI CURRYS,Indian,,250,Marathahalli,Indian,1
One Bites,"Arabian, Snacks, Fast Food, Tandoor",,200,Marathahalli,Arabian,4
Awadhi Delights,"Biryani, North Indian, Mughlai",,200,Marathahalli,Biryani,3
Seven Days Biryani,"Biryani, Chinese, North Indian, Seafood",,400,Marathahalli,Biryani,4
Samosa Party,"Chaat, North Indian, Fast Food, Street Food, Snacks, Sweets, Desserts, Home Food...",,100,Marathahalli,Chaat,8
Madras Meal Company,South Indian,,350,Marathahalli,South Indian,1
RAJWAAD FOOD,"Chinese, Indian, North Indian, Biryani",,300,Marathahalli,Chinese,4
Uhb Ur Hunger Buddy,"Continental, Pizzas, Desserts, Ice Cream, Beverages",,300,Marathahalli,Continental,5
Rolls First,"Fast Food, Indian, Snacks, Tandoor",3.3,150,Marathahalli,Fast Food,4
Nizam's Biryani House,"Andhra, Beverages, Biryani, Chinese, Desserts, Mughlai, North Indian, South Indi...",3.7,600,Marathahalli,Andhra,8
ARABIAN GRILL,"Arabian, Barbecue",,300,Marathahalli,Arabian,2
CREAMS & BITES,"Ice Cream, Healthy Food, American, Desserts, Beverages, Keto",3.5,300,Marathahalli,Ice Cream,6
C M bakery and juice point,Indian,,100,Marathahalli,Indian,1
Kritunga Restaurant,"Andhra, Biryani, South Indian, Hyderabadi",3.6,500,Marathahalli,Andhra,4
BOWLSS OF BLISS,"Ice Cream, Healthy Food, American, Desserts, Beverages, Keto",,200,Marathahalli,Ice Cream,6
Juice Junction,Juices,,100,Marathahalli,Juices,1
Dessert Studio by Third Wave,Desserts,,400,Marathahalli,Desserts,1
Brahmins Tiffin Center,South Indian,,100,Marathahalli,South Indian,1
Calcutta Biryani Club,"Biryani, Desserts, Beverages",,300,Marathahalli,Biryani,3
Kitchens of Punjab,"Punjabi, North Indian, Thalis, Desserts, Beverages",,500,Marathahalli,Punjabi,5
Biriyani Zone,"Biryani, Andhra, South Indian, North Indian, Tandoor",3.8,600,Marathahalli,Biryani,5
KASHMIRI BIRYANI,"Biryani, North Indian",,300,Marathahalli,Biryani,2
Almaroosh,"Biryani, Desserts, Chinese, Beverages",,250,Marathahalli,Biryani,4
New Ambur Hot Dum Biriyani,Biryani,3.8,230,Marathahalli,Biryani,1
Hotel 7 Hills,"Biryani, Chinese, Snacks, South Indian, Indian",,400,Marathahalli,Biryani,5
MASTER OF NORTH,"North Indian, Indian",,300,Marathahalli,North Indian,2
HYDERABADI PALACE,"North Indian, Chinese",,300,Marathahalli,North Indian,2
Chaayos Chai+Snacks=Relax,"Bakery, Beverages, Chaat, Desserts, Fast Food, Home Food, Italian, Maharashtrian...",,250,Marathahalli,Bakery,8
Third Wave Coffee,"Beverages, Bakery, Continental",,400,Marathahalli,Beverages,3
Chakh Le India,"North Indian, South Indian, Biryani, Chinese, Combo, Thalis",3.4,200,Marathahalli,North Indian,6
Thali 99,"Indian, Thalis, North Indian, Home Food",,250,Marathahalli,Indian,4
SHAWARMA HOUSE,"Lebanese, Arabian",3.6,120,Marathahalli,Lebanese,2
KRITUNGA RESTAURANT (outer ring road),"Andhra, Biryani",3.8,750,Marathahalli,Andhra,2
Espresso Express Cafe,"Beverages, Fast Food, Snacks, Arabian",,250,Marathahalli,Beverages,4
Absolute Shawarma,"Arabian, Lebanese",3.9,250,Marathahalli,Arabian,2
punjabi chaap corner,"North Indian, Indian, Chinese, Biryani, Snacks",,300,Marathahalli,North Indian,5
East Delicious,"Chinese, Thai",,350,Marathahalli,Chinese,2
Combo Raja,"Chinese, Combo, Home Food, North Indian",,300,Marathahalli,Chinese,4
Sankranti Andra Style Restaurant,"Biryani, North Indian, Combo",,250,Marathahalli,Biryani,3
New Udupi Upahar,"North Indian, South Indian",,200,Marathahalli,North Indian,2
MEGNA RESTAURANT,"Chinese, Mughlai, North Indian",,300,Marathahalli,Chinese,3
Puchka Wala,"North Indian, Indian, Chaat",,120,Marathahalli,North Indian,3
INDO ASIAN KITCHENS,"Fast Food, Indian, Kebabs",,300,Marathahalli,Fast Food,3
PEPE'S Pizza- Brookfield,"Pizzas, Italian, Continental, American, Fast Food, Beverages, Desserts",3.7,200,Marathahalli,Pizzas,7
Chopstick,"Chinese, Thai, Seafood, Asian, Healthy Food, Beverages",3.8,350,Marathahalli,Chinese,6
Crazy Bao,"Chinese, Asian, Thai",3.3,600,Marathahalli,Chinese,3
AMBUR HOT DUM BIRIYANI,"Biryani, Indian",,300,Marathahalli,Biryani,2
Ambur Hot Dum Biryani,"Biryani, South Indian, Snacks",,200,Marathahalli,Biryani,3
Biryani King,"Indian, Fast Food, Beverages",,350,Marathahalli,Indian,3
BUKHARA KITCHENS,"Chinese, North Indian, Biryani",,300,Marathahalli,Chinese,3
Fb Cakes,Bakery,,300,Marathahalli,Bakery,1
Hungry Panda - Deliciously Chinese,"Chinese, Asian, Thai",3.5,600,Marathahalli,Chinese,3
Kilo Biryani,"Biryani, Andhra, Hyderabadi, North Indian, Snacks, Beverages",3.9,200,Marathahalli,Biryani,6
NH1 Bowls - Highway To North,"North Indian, Punjabi",3.7,250,Marathahalli,North Indian,2
KABAB ZONE,"North Indian, Chinese",,300,Marathahalli,North Indian,2
Chinese GARDEN ,"Chinese, Seafood",,200,Marathahalli,Chinese,2
Biryani Mount,Biryani,3.3,400,Marathahalli,Biryani,1
PARIS HOTEL,"Beverages, Chinese, Juices",,300,Marathahalli,Beverages,3
ITC Master Chef Creations,"North Indian, Biryani, Indian, Punjabi, Chaat, Kebabs, Tandoor, Mughlai, Dessert...",,650,Marathahalli,North Indian,9
The Odia Adda,"North Indian, Chinese, Biryani",3.9,400,Marathahalli,North Indian,3
INDIAN GRILL,"North Indian, Biryani",,300,Marathahalli,North Indian,2
Petuk the Foodie,"Biryani, Indian",,800,Marathahalli,Biryani,2
Kerala Royal Food,"Kerala, South Indian, North Indian, Chinese",3.5,200,Marathahalli,Kerala,4
URBAN DESI,"Pizzas, Beverages, Snacks, Desserts",,300,Marathahalli,Pizzas,4
Hotel Malabar Palace,"Indian, Snacks, Beverages",,250,Marathahalli,Indian,3
Punjabi Meal Express,North Indian,3.8,250,Marathahalli,North Indian,1
Pind Da Chula,"North Indian, Snacks",,350,Marathahalli,North Indian,2
Ramtej Andhra Restaurant,Chinese,,400,Marathahalli,Chinese,1
PEPPER LEAF RESTAURANT,"Chinese, Biryani, Indian",,200,Marathahalli,Chinese,3
Onesta,"Italian, Desserts, Pizzas",3.7,200,Marathahalli,Italian,3
BOX8 - Desi Meals,"North Indian, Biryani, Fast Food, Desserts, Combo",3.7,250,Marathahalli,North Indian,5
VRINDAJ,"North Indian, Snacks, Beverages",,250,Marathahalli,North Indian,3
Sri Rajalakshmi Sweets,"Street Food, Sweets",,300,Marathahalli,Street Food,2
Royale Rolls,"North Indian, Snacks, Indian",,200,Marathahalli,North Indian,3
INFOSYS CAFE,North Indian,,300,Marathahalli,North Indian,1
Hyderabad Biryani,"Biryani, North Indian",,350,Marathahalli,Biryani,2
Goli Vada Pav No .1,"Maharashtrian, North Indian, Street Food",,100,Marathahalli,Maharashtrian,3
Dil Se- By Chaat Junction,Indian,,220,Marathahalli,Indian,1
Biryani LAZIZ,Biryani,,350,Marathahalli,Biryani,1
Foodism.in,"Home Food, North Indian, Biryani, Thalis, Beverages, Chinese, Healthy Food, Indi...",3.4,250,Marathahalli,Home Food,8
HOSKOTE MUTTON POINT,"North Indian, Beverages",,300,Marathahalli,North Indian,2
Subbayya Gari Hotel,"Andhra, South Indian",3.9,300,Marathahalli,Andhra,2
MANI'S DUM BIRYANI,Biryani,,400,Marathahalli,Biryani,1
Gilly's Restobar,"American, Andhra, Coastal, Desserts, Italian, Mexican, Mughlai, North Indian, Pa...",,450,Marathahalli,American,9
Paratha Meal Co,"North Indian, Indian",,250,Marathahalli,North Indian,2
Khichdi Kahani,"Indian, North Indian",3.3,200,Marathahalli,Indian,2
The Mangalore store,"Mangalorean, Snacks, Sweets",,150,Marathahalli,Mangalorean,3
SPICE TANDOOR,Indian,,300,Marathahalli,Indian,1
LACKNOW DARBAR,"North Indian, Chinese, Beverages",,300,Marathahalli,North Indian,3
Madurai Idly Shop,South Indian,,150,Marathahalli,South Indian,1
TrueCakes,"Desserts, Bakery",,200,Marathahalli,Desserts,2
VIKRAM RESTAURANT,"North Indian, Biryani",,300,Marathahalli,North Indian,2
Decker s Lane,Bengali,,499,Marathahalli,Bengali,1
AKSHATHA NATI STYLE,"North Indian, Biryani, Snacks",,400,Marathahalli,North Indian,3
Wow Kolkota,"Chinese, Indian",,600,Marathahalli,Chinese,2
INOX,Fast Food,,400,Marathahalli,Fast Food,1
Eatoz,"Indian, Tandoor, Mughlai, Chinese, Biryani, North Indian, Seafood, Healthy Food",3.7,400,Marathahalli,Indian,8
Rajdhani Express Pure Veg,"Indian, Biryani, Chinese",,200,Marathahalli,Indian,3
BHAGINI RESIDENCY HOODI,"North Indian, Andhra, Chinese, Desserts, Beverages",,400,Marathahalli,North Indian,5
Gourmet Ice Cream Cakes by Baskin Robbins,"Desserts, Ice Cream, Bakery",,200,Marathahalli,Desserts,3
DonBuri,"Chinese, Italian, Mediterranean, Thai, Lebanese, American, Asian, Beverages, Bak...",,250,Marathahalli,Chinese,9
DELHI BIRYANI CAFE,"Biryani, Indian",,295,Marathahalli,Biryani,2
HYDERABADI KITCHEN'S,"Indian, Biryani, Chinese, Desserts, Beverages",,300,Marathahalli,Indian,5
BIRYANI STATIONS,"Biryani, Fast Food, North Indian",,300,Marathahalli,Biryani,3
STEAM MOMO,"Chinese, Beverages",,300,Marathahalli,Chinese,2
MEAL BOX,"North Indian, Chinese, Beverages",,300,Marathahalli,North Indian,3
The Twenty Handmade Chocolates,Desserts,,300,Marathahalli,Desserts,1
BIRYANI BUFFET,"Biryani, North Indian, Chinese, Desserts, Beverages",,300,Marathahalli,Biryani,5
Myra's Kitchen,"South Indian, Chinese, North Indian, Snacks, Beverages",,200,Marathahalli,South Indian,5
Bombay Kulfi,"Desserts, Ice Cream",,100,Marathahalli,Desserts,2
Eastern Delights,"Indian, Chinese, Sweets, Fast Food",,199,Marathahalli,Indian,4
UDUPI AHARA,"North Indian, Chinese",,200,Marathahalli,North Indian,2
Wok with Chung - Chungs Culinary Art,Chinese,,1200,Marathahalli,Chinese,1
Cakes Wagon - Marthahalli,"Desserts, Bakery, Ice Cream, Beverages",3.8,150,Marathahalli,Desserts,4
Prajwal The Restaurant,"North Indian, Chinese, Biryani, Thalis, Jain, Bihari, Beverages",,200,Marathahalli,North Indian,7
Bowl Soul,"Indian, Asian, Continental, Pan-Asian, Chinese, Mediterranean, Mexican, Lebanese...",,250,Marathahalli,Indian,8
With Love from Home,"North Indian, Bengali",3.6,200,Marathahalli,North Indian,2
Chowman,"Chinese, Asian, Oriental, Pan-Asian, Thai",,400,Marathahalli,Chinese,5
Just Noodles & More,"Indian, Chinese",,500,Marathahalli,Indian,2
The Empire Juice Shop,"Juices, Ice Cream",,200,Marathahalli,Juices,2
MASTER CHEF'S,Indian,,300,Marathahalli,Indian,1
Wow! Momo,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",,250,Marathahalli,Tibetan,8
Desi Biryani Cafe,Biryani,,300,Marathahalli,Biryani,1
Spiffy,"Beverages, Desserts, Juices",,150,Marathahalli,Beverages,3
Maria's Taste Circle,"Kerala, Seafood, South Indian",3.3,400,Marathahalli,Kerala,3
TandooreMirzapur,"Indian, Chinese, Tandoor, Biryani, Fast Food",,199,Marathahalli,Indian,5
Namma Madurai,"South Indian, North Indian",,150,Marathahalli,South Indian,2
SEA FOOD KITCHENS,Indian,,200,Marathahalli,Indian,1
LayerBite,Bakery,,500,Marathahalli,Bakery,1
CAMM CAFE,"Cafe, Fast Food, Desserts",,300,Marathahalli,Cafe,3
VILLAGE KITCHENS,"Indian, Chinese, Biryani, Beverages",,300,Marathahalli,Indian,4
Leon Grill,"American, Snacks, Turkish, Portuguese, Continental",,400,Marathahalli,American,5
MUGAL DARBAR,Indian,,300,Marathahalli,Indian,1
Miya Bhai Biryani,"Biryani, Snacks, Chinese",,200,Marathahalli,Biryani,3
Hokart - Mane oota,"South Indian, Street Food",,150,Marathahalli,South Indian,2
Bottle and Kullad,"Desserts, Beverages",,200,Marathahalli,Desserts,2
Sabir's dum biryani,"Biryani, Hyderabadi",,200,Marathahalli,Biryani,2
Mouchak restaurant,"Chinese, Biryani, Indian",,500,Marathahalli,Chinese,3
Itminaan Biryani - Dum Pukht,"Biryani, North Indian, Mughlai",,400,Marathahalli,Biryani,3
Kale Me Crazy KL14,"South Indian, Chinese",,200,Marathahalli,South Indian,2
Mega Biryani,"Biryani, Hyderabadi, Indian",,400,Marathahalli,Biryani,3
Rasoighar,"Thalis, Combo, Chinese, Snacks, Indian",,150,Marathahalli,Thalis,5
NIC Natural Ice Creams,"Ice Cream, Desserts",,120,Marathahalli,Ice Cream,2
Burger Max,Snacks,,149,Marathahalli,Snacks,1
Khichadi Club,Home Food,,250,Marathahalli,Home Food,1
Adithya Restaurant,"Andhra, Biryani, Tandoor, Chinese",,400,Marathahalli,Andhra,4
Hayabusha burgers,"Indian, Snacks",,300,Marathahalli,Indian,2
The Great Indian Food Court,"Indian, Italian, Fast Food",,300,Marathahalli,Indian,3
Poha On Wheels,Fast Food,,150,Marathahalli,Fast Food,1
NEW HYDERABADI BIRYANI,Biryani,,200,Marathahalli,Biryani,1
Lord of Combos,"Indian, Chinese",,200,Marathahalli,Indian,2
AROMAS OF CHINA,Indian,,300,Marathahalli,Indian,1
New Food Magic,North Indian,3.7,300,Marathahalli,North Indian,1
AFGHANI GRILL HOUSE,"Afghani, Indian, Chinese, Beverages",,300,Marathahalli,Afghani,4
99 Caffe,"Chinese, North Indian, South Indian",,200,Marathahalli,Chinese,3
Apur Songshar,"Snacks, North Indian, Biryani, Bengali, Thalis",,300,Marathahalli,Snacks,5
JAN AAHAR COMBO BOX,"North Indian, South Indian, Chinese",,150,Marathahalli,North Indian,3
SHAWARMA HUT,"Arabian, Fast Food, Lebanese, Snacks",,300,Marathahalli,Arabian,4
CHINA TOWN,Chinese,,300,Marathahalli,Chinese,1
Chai Nashta,Fast Food,3.9,150,Marathahalli,Fast Food,1
Momo Monk,"Pan-Asian, Chinese",,350,Marathahalli,Pan-Asian,2
SURENDRA CATERING SERVICES,North Indian,,150,Marathahalli,North Indian,1
Oziano,"Bengali, Biryani, Chinese, North Indian",,250,Marathahalli,Bengali,4
FISH LAND FAMILY RESTAURANT,"Indian, Chinese",,300,Marathahalli,Indian,2
Ohh Kolkata,"Bengali, Bangladeshi",,400,Marathahalli,Bengali,2
Snack House,"Fast Food, Street Food",,300,Marathahalli,Fast Food,2
Kartik's Mithai,Sweets,,200,Marathahalli,Sweets,1
Biryani Trip,"Biryani, Hyderabadi, Indian",,400,Marathahalli,Biryani,3
Andhra Gunpowder,"Andhra, Biryani, South Indian",,350,Marathahalli,Andhra,3
The Biryani Life,"Biryani, Hyderabadi, Lucknowi, North Indian, Mughlai, Desserts",,250,Marathahalli,Biryani,6
KUTTANADAN KERALA HOTEL   MESS,"Kerala, South Indian, Snacks, Sweets",,250,Marathahalli,Kerala,4
Momo Zone - The Momo Company,"Chinese, Fast Food",3.7,150,Marathahalli,Chinese,2
Vikas Punjabi dabba,Indian,,250,Marathahalli,Indian,1
Khane Ka Khazana Restaurant,"North Indian, Fast Food, Chinese, Combo, South Indian, Thalis, Biryani",3.3,200,Marathahalli,North Indian,7
Faasos - Wraps & Rolls,"Snacks, Beverages, Desserts, Indian",,200,Marathahalli,Snacks,4
C/O Biriyanis,"Biryani, Chinese",,400,Marathahalli,Biryani,2
Hyderabadi Suchi Biryani,"Continental, Snacks, Beverages",,300,Marathahalli,Continental,3
Chai Galli,Street Food,,350,Marathahalli,Street Food,1
Food Heist,"Fast Food, Snacks, Beverages",,250,Marathahalli,Fast Food,3
KOTTAYAM CURRIES,"Seafood, South Indian, Biryani, Kerala",,250,Marathahalli,Seafood,4
Dhaba Estd 1986 Delhi,"Biryani, Hyderabadi, North Indian, Indian, Tandoor, Punjabi",,900,Marathahalli,Biryani,6
Punjabi Zaika,"Home Food, North Indian, Thalis, Beverages, Chinese, Healthy Food, Indian, Punja...",3.6,300,Marathahalli,Home Food,8
Paratha Envy,North Indian,,249,Marathahalli,North Indian,1
Chaat Lane,"Chaat, Snacks, Fast Food, Street Food, North Indian",3.7,200,Marathahalli,Chaat,5
Adukkala Restaurant,"North Indian, South Indian",,300,Marathahalli,North Indian,2
La La La,"Italian, Continental",,350,Marathahalli,Italian,2
Udupi Upachar,"South Indian, North Indian",,250,Marathahalli,South Indian,2
Natraj Chole Bhature,"North Indian, Snacks, Beverages",,400,Marathahalli,North Indian,3
CARLOS CAKES,Bakery,,200,Marathahalli,Bakery,1
Taiki,"Asian, Japanese, Sushi, Korean, Thai",,1000,Marathahalli,Asian,5
WOWFFLES,"Desserts, Bakery",,400,Marathahalli,Desserts,2
Imperial Restaurant,"Tandoor, Biryani, Kerala, South Indian, North Indian, Chinese, Beverages",,400,Marathahalli,Tandoor,7
Polar Bear,"Ice Cream, Desserts",,300,Marathahalli,Ice Cream,2
A S NAIDU FAMILY RESTAURANT,"North Indian, Indian, Seafood",,300,Marathahalli,North Indian,3
Self Love Cafeteria,"Indian, Tandoor, Snacks",3.9,350,Marathahalli,Indian,3
Odia Pakhala,"Seafood, Oriya",,200,Marathahalli,Seafood,2
AUTHENTIC BENGALI BIRYANI (ABB),"Biryani, North Indian",,200,Marathahalli,Biryani,2
Awaken fitzrovia,"Fast Food, Pizzas, Snacks",,250,Marathahalli,Fast Food,3
Carlos Cake cafe,Desserts,,100,Marathahalli,Desserts,1
Donne Biryani Palace,"Biryani, Kebabs",3.0,150,Marathahalli,Biryani,2
Thakuri Kitchen,"North Indian, Chinese",,200,Marathahalli,North Indian,2
Smoodies & Juices: Yours Fruitfully,"Snacks, Healthy Food, Juices, Beverages, Desserts",,140,Marathahalli,Snacks,5
Majestic Mandi,"Arabian, Biryani, Beverages, Desserts, South Indian",,400,Marathahalli,Arabian,5
The Thick Shake Factory,"Ice Cream, Beverages, Desserts",,200,Marathahalli,Ice Cream,3
Andhra Aromas,"Biryani, Indian, Chinese",,400,Marathahalli,Biryani,3
Laali Da Dhaba,"Punjabi, North Indian, Tandoor, Desserts, Beverages",,300,Marathahalli,Punjabi,5
Kolkata Sholoana,"Bengali, Biryani, Snacks, Sweets",3.9,200,Marathahalli,Bengali,4
Thai Food,"Thai, Snacks",,600,Marathahalli,Thai,2
The Red Box,"Chinese, Beverages",3.9,300,Marathahalli,Chinese,2
GITA FOODS,"Thalis, North Indian, Biryani, Chinese",3.0,180,Marathahalli,Thalis,4
Cafe Coffee Day,"Beverages, Snacks, Desserts",,300,Marathahalli,Beverages,3
McDonald's Gourmet Burger Collection,"Burgers, Beverages, Cafe, Desserts",3.9,600,Marathahalli,Burgers,4
Handi Biryani,"Biryani, Hyderabadi, North Indian, Snacks, Beverages, Combo",3.8,200,Marathahalli,Biryani,6
KGN RESTAURANT,"Indian, Chinese",,300,Marathahalli,Indian,2
UDUPI SPICE,South Indian,,300,Marathahalli,South Indian,1
Cafe Factory Co,"Indian, Beverages",,150,Marathahalli,Indian,2
CUP 'O' COFFEE,"Bakery, Fast Food, Pizzas",,250,Marathahalli,Bakery,3
Iyengar's Bread Basket,Bakery,,200,Marathahalli,Bakery,1
Mughal Biryani,"Biryani, North Indian",,350,Marathahalli,Biryani,2
CLUB 10 CHICKEN,"Beverages, Fast Food",,350,Marathahalli,Beverages,2
Chai Central,"Beverages, Bakery, Desserts, North Indian, Snacks",,150,Marathahalli,Beverages,5
Konaseema Sweets & Snacks,Sweets,,150,Marathahalli,Sweets,1
Sanjha Chulha,"North Indian, Tandoor",,300,Marathahalli,North Indian,2
SR BIRIYANI CENTER,"Biryani, Indian",,100,Marathahalli,Biryani,2
Momoz,"Chinese, Thai, Seafood, Asian, Malaysian",3.8,350,Marathahalli,Chinese,5
Happy Tummy,Ice Cream,,250,Marathahalli,Ice Cream,1
THINDI MANE OOTA,"North Indian, Biryani, Desserts",,350,Marathahalli,North Indian,3
BANGARPET CHATS AND TEA POINT,"Chaat, Beverages",,150,Marathahalli,Chaat,2
Madurai Idly Dosa Shop,South Indian,,100,Marathahalli,South Indian,1
VIRANSH ARABIAN SHAWARMA,Lebanese,,250,Marathahalli,Lebanese,1
Shan's Kitchen - Madurai,"South Indian, Chettinad, Biryani",3.8,150,Marathahalli,South Indian,3
Grameen Kulfi,"Ice Cream, Desserts",,120,Marathahalli,Ice Cream,2
Vadilal Ice Cream,"Ice Cream, Desserts",,200,Marathahalli,Ice Cream,2
Natural Ice Cream,Ice Cream,,150,Marathahalli,Ice Cream,1
ADUGE MANE(Vighnesh's Kitchen),South Indian,,250,Marathahalli,South Indian,1
MOMO BURGER JOINT,"Chinese, Fast Food",,200,Marathahalli,Chinese,2
CRISPY TOWER,Indian,,300,Marathahalli,Indian,1
Cha Canteen,"Chinese, Beverages, Indian",,300,Marathahalli,Chinese,3
KRITONGHA RESTAURANT,Andhra,,300,Marathahalli,Andhra,1
Bengali Rasoi,"Chinese, Snacks",,220,Marathahalli,Chinese,2
The Chaap Factory,"Kebabs, North Indian, Home Food, Indian, Thalis, Pizzas, Beverages",,350,Marathahalli,Kebabs,7
Yogitas Kitchen,Indian,,250,Marathahalli,Indian,1
Chandni Chowk 2 Bangalore,"Mughlai, Punjabi, North Indian, Thalis, Beverages, Pizzas, Chinese, Indian",3.7,300,Marathahalli,Mughlai,8
The Indian Dhaba,"Kebabs, Mughlai, North Indian, Biryani, Thalis, Beverages, Chinese, Punjabi, Piz...",3.2,300,Marathahalli,Kebabs,9
Eggstacy On Wheels,Fast Food,,200,Marathahalli,Fast Food,1
AL BAIK RESTAURANT,"Chinese, North Indian, Biryani",,300,Marathahalli,Chinese,3
Punjabi Bowl,"Home Food, North Indian, Thalis, Beverages, Chinese, Healthy Food, Indian, Punja...",,300,Marathahalli,Home Food,8
Breakfast Express,"Continental, North Indian, South Indian, American, Beverages, British, European,...",,200,Marathahalli,Continental,8
Asha Tiffins,South Indian,,200,Marathahalli,South Indian,1
MANGOSTEEN KITCHEN,"Chinese, Salads, Desserts",,600,Marathahalli,Chinese,3
Coastal spice,Indian,,450,Marathahalli,Indian,1
Odisha durbar,"North Indian, Chinese, Snacks",,200,Marathahalli,North Indian,3
Xo Belgian Waffle,Desserts,,400,Marathahalli,Desserts,1
Berytoz,"Indian, Chinese",,300,Marathahalli,Indian,2
Shahi Kadaai,"Kebabs, North Indian, Beverages, Indian",,900,Marathahalli,Kebabs,4
Idlyappam,"South Indian, Beverages",,100,Marathahalli,South Indian,2
